Content,EventTemplate
"XPC Error while checking if iCDP is enabled for DSID 874161398: Error Domain NSCocoaErrorDomain Code 4099 ""The connection to service named com.apple.cdp.daemon was invalidated."" UserInfo {NSDebugDescription The connection to service named com.apple.cdp.daemon was invalidated.}",XPC Error while checking if iCDP is enabled for DSID {number}: Error Domain {domain_name} Code {number} {error_description} UserInfo {NSDebugDescription {error_description}}
"<<<< FigByteStream >>>> FigByteStreamStatsLogOneRead: ByteStream read of 8 bytes @ 7431 took 1.376340 secs. to complete, 1 reads > 1 sec.","<<<< FigByteStream >>>> FigByteStreamStatsLogOneRead: ByteStream read of {number} bytes @ {number} took {number} secs. to complete, {number} reads > {number} sec."
ARPT: 620653.785517: AQM agg params 0xfc0 maxlen hi/lo 0x0 0xffff minlen 0x0 adjlen 0x0,ARPT: {number}: AQM agg params {hex_code} maxlen hi/lo {hex_code} {hex_code} minlen {hex_code} adjlen {hex_code}
handle_will_sleep_auth_and_shield_windows: Reordering authw 0x7fa82d22fc00(2004) (lock state: 3),handle_will_sleep_auth_and_shield_windows: Reordering authw {hex_code}({number}) (lock state: {number})
"hibernate_machine_init: state 2, image pages 391592, sum was a6dc1ff4, imageSize 0x2846d000, image1Size 0x1ed37000, conflictCount 5006, nextFree 480b","hibernate_machine_init: state {number}, image pages {number}, sum was {hex_number}, imageSize {hex_code}, image1Size {hex_code}, conflictCount {number}, nextFree {hex_number}"
"Path not allowed in target domain: type pid, path /System/Library/StagedFrameworks/Safari/SafariShared.framework/Versions/A/XPCServices/com.apple.Safari.History.xpc/Contents/MacOS/com.apple.Safari.History error 147: The specified service did not ship in the requestor's bundle, origin /System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc","Path not allowed in target domain: type {type}, path {file_path} error {number}: The specified service did not ship in the requestor's bundle, origin {file_path}"
(Volume.Normal:2464) volume:0x7fe11f037000 ********** Bootstrapped Creating a default store:0 SpotLoc:(null) SpotVerLoc:(null) occlude:0 /Volumes/Recovery HD,(Volume.Normal:{number}) volume:{hex_code} ********** Bootstrapped Creating a default store:{number} SpotLoc:{null} SpotVerLoc:{null} occlude:{number} {file_path}
Endpoint has been activated through legacy launch(3) APIs. Please switch to XPC or bootstrap_check_in(): com.apple.CoreLocation.agent,Endpoint has been activated through legacy launch({number}) APIs. Please switch to XPC or bootstrap_check_in(): {pakage_name}
"securityd_xpc_dictionary_handler cloudd[326] copy_matching Error Domain NSOSStatusErrorDomain Code -50 ""query missing class name"" (paramErr: error in user parameter list) UserInfo {NSDescription query missing class name}","securityd_xpc_dictionary_handler cloudd[{number}] copy_matching Error Domain {domain_name} Code {number} {error_description}"" (paramErr: error in user parameter list) UserInfo {NSDescription {error_description}}"
"[com.apple.calendar.store.log.caldav.mismatch] [Sync report for calendar home iCloud, failed with error Error Domain NSURLErrorDomain Code -1009 ""<N/ASCII>"" UserInfo {NSUnderlyingError 0x7fa11d39abe0 {Error Domain kCFErrorDomainCFNetwork Code -1009 ""<N/ASCII>"" UserInfo {NSErrorFailingURLStringKey https://13957525385%40163.com@p28-caldav.icloud.com/874161398/calendars/, NSErrorFailingURLKey https://13957525385%40163.com@p28-caldav.icloud.com/874161398/calendars/, _kCFStreamErrorCodeKey 8, _kCFStreamErrorDomainKey 12, NSLocalizedDescription <N/ASCII>}}, NSErrorFailingURLStringKey https://13957525385%40163.com@p28-caldav.icloud.com/874161398/calendars/, NSErrorFailingURLKey https://13957525385%40163.com@p28-caldav.icloud.com/874161398/calendars/, _kCFStreamErrorDomainKey 12, _kCFStreamErrorCodeKey 8, NSLocalizedDescription <N/ASCII>}]","[{pakage_name}] [Sync report for calendar home iCloud, failed with error Error Domain NSURLErrorDomain {code_info} {ns_info} {Error Domain kCFErrorDomainCFNetwork {code_info} {ns_info} UserInfo {NSErrorFailingURLStringKey {website_url}, NSErrorFailingURLKey {website_url}, _kCFStreamErrorCodeKey {number}, _kCFStreamErrorDomainKey {number}, {ns_info} NSErrorFailingURLStringKey {website_url}, NSErrorFailingURLKey {website_url}, _kCFStreamErrorDomainKey {number}, _kCFStreamErrorCodeKey {number}, {ns_info}"
"CoreText: *** Unmapped ""\u1000\u1064\u102C"" <CTFont: 0x7fef88f59990>{name HelveticaNeue-Bold, size 16.000000, matrix 0x0, descriptor <CTFontDescriptor: 0x7fef8dbb8c50>{attributes <CFBasicHash 0x7fef88fbf4a0 [0x7fff7abc1440]>{type mutable dict, count 1,","CoreText: *** Unmapped {file_path} <CTFont: {hex_code}>{name {name}, size {number}, matrix {hex_code}, descriptor <CTFontDescriptor: {hex_code}>{attributes <CFBasicHash {hex_code} [{hex_code}]>{type {type}, count {number},"
"[CardDAVPlugin-ERROR] -getPrincipalInfo:[_controller principalPropertiesAtURL:https://xpc_ben%40163.com@contacts.163.com/principals/users/558548ec28fbd965ade28995b355b70d/] Error Domain NSURLErrorDomain Code -1001 ""The request timed out."" UserInfo {NSUnderlyingError 0x7fdb40c864c0 {Error Domain kCFErrorDomainCFNetwork Code -1001 ""The request timed out."" UserInfo {NSErrorFailingURLStringKey https://xpc_ben%40163.com@contacts.163.com/principals/users/558548ec28fbd965ade28995b355b70d/, NSErrorFailingURLKey https://xpc_ben%40163.com@contacts.163.com/principals/users/558548ec28fbd965ade28995b355b70d/, _kCFStreamErrorCodeKey -2102, _kCFStreamErrorDomainKey 4, NSLocalizedDescription The request timed out.}}, NSErrorFailingURLStringKey https://xpc_ben%40163.com@contacts.163.com/principals/users/558548ec28fbd965ade28995b355b70d/, NSErrorFailingURLKey https://xpc_ben%40163.com@contacts.163.com/principals/users/558548ec28fbd965ade28995b355b70d/, _kCFStreamErrorDomainKey 4, _kCFStreamErrorCodeKey -2102, NSLocalizedDescription The request timed out.}","[CardDAVPlugin-ERROR] -getPrincipalInfo:[_controller {contro_info}] Error Domain {domain_name} Code {number} {error_description} UserInfo {NSUnderlyingError {hex_code} {Error Domain {domain_name} Code {number} {error_description} UserInfo {NSErrorFailingURLStringKey {website_url}, NSErrorFailingURLKey {website_url}, _kCFStreamErrorCodeKey {number}, _kCFStreamErrorDomainKey {number}, NSLocalizedDescription {error_description}}}, NSErrorFailingURLStringKey {website_url}, NSErrorFailingURLKey {website_url}, _kCFStreamErrorDomainKey {number}, _kCFStreamErrorCodeKey {number}, NSLocalizedDescription {error_description}}"
"ARPT: 620700.454519: IOPMPowerSource Information: onSleep, SleepType: Normal Sleep, 'ExternalConnected': Yes, 'TimeRemaining': 0,","ARPT: {number}: IOPMPowerSource Information: onSleep, SleepType: {sleep_type}, 'ExternalConnected': {bool}, 'TimeRemaining': {number},"
"CFPasteboardCopyDataReturn __CFPasteboardCopyData(CFPasteboardRef, CFIndex, CFIndex, CFStringRef, Boolean, Boolean) : Lock timeout","CFPasteboardCopyDataReturn __CFPasteboardCopyData(CFPasteboardRef, CFIndex, CFIndex, CFStringRef, Boolean, Boolean) : Lock timeout"
"DB Query: select * from tb_c2cMsg_2909288299 where flag 1 and type ! 109 and bubbleid > 0 order by time desc, msgRelatedFlag asc, msgId desc limit 1","DB Query: select * from {database} where flag {number} and type ! {number} and bubbleid > {number} order by time desc, msgRelatedFlag asc, msgId desc limit {number}"
Captive: [CNInfoNetworkActive:1748] en0: SSID 'CalVisitor' making interface primary (cache indicates network not captive),Captive: [CNInfoNetworkActive:{number}] {en_id}: SSID {ss_id} making interface primary (cache indicates network not captive)
2017/07/01 10:31:07.706 | I | VoipWrapper | DAVEngineImpl.cpp:1400:Close | close video chat. llFriendUIN ******2341.,{date} {time} | I | VoipWrapper | DAVEngineImpl.cpp:{number}:Close | close video chat. llFriendUIN {number}
"hostControllerOnline - Number of Paired devices 1, List of Paired devices (","hostControllerOnline - Number of Paired devices {number}, List of Paired devices ("
<<<< MediaValidator >>>> mv_ValidateRFC4281CodecId: Unrecognized codec 1.(null). Failed codec specific check.,<<<< MediaValidator >>>> mv_ValidateRFC4281CodecId: Unrecognized codec {number}. Failed codec specific check.
"ARPT: 620651.021235: wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 2477329075, Ack 1662858865, Win size 278","ARPT: {number}: {wl_id}: wl_update_tcpkeep_seq: Updated {file_path} from UserClient Seq {number}, Ack {number}, Win size {number}"
"pages 4108571, wire 500151, act 1310843, inact 170, cleaned 0 spec 11, zf 756188, throt 0, compr 340241, xpmapped 40000","pages {number}, wire {number}, act {number}, inact {number}, cleaned {number} spec {number}, zf {number}, throt {number}, compr {number}, xpmapped {number}"
"hibernate_teardown: wired_pages 518384, free_pages 3605165, active_pages 40000, inactive_pages 0, speculative_pages 0, cleaned_pages 0, compressor_pages 64","hibernate_teardown: wired_pages {number}, free_pages {number}, active_pages {number}, inactive_pages {number}, speculative_pages {number}, cleaned_pages {number}, compressor_pages {number}"
