Content,EventTemplate
finalMerge called with 0 in-memory map-outputs and 13 on-disk map-outputs,finalMerge called with {number} in-memory map-outputs and {number} on-disk map-outputs
Service JobHistoryEventHandler failed in state STOPPED; cause: org.apache.avro.AvroTypeException: Attempt to process a enum when a union was expected,Service {class_name} failed in state {status_info}; cause: {class_name}: Attempt to process a enum when a union was expected
"session.id is deprecated. Instead, use dfs.metrics.session-id","{function} is deprecated. Instead, use {function}"
"MergerManager: memoryLimit=130652568, maxSingleShuffleLimit=32663142, mergeThreshold=86230696, ioSortFactor=10, memToMemMergeOutputsThreshold=10","MergerManager: memoryLimit={number}, maxSingleShuffleLimit={number}, mergeThreshold={number}, ioSortFactor={number}, memToMemMergeOutputsThreshold={number}"
fetcher#2 about to shuffle output of map attempt_1445087491445_0005_m_000000_0 decomp: 227948846 len: 227948850 to DISK,fetcher#{number} about to shuffle output of map {task_id}: {number} len: {number} to DISK
"MRAppMaster launching normal, non-uberized, multi-container job job_1445087491445_0005","MRAppMaster launching normal, non-uberized, multi-container job {job_id}"
Web app /mapreduce started at 32067,Web app {app_name} started at {port}
We launched 1 speculations. Sleeping 15000 milliseconds,We launched {number} speculations. Sleeping {number} milliseconds
bufstart = 0; bufend = 34171787; bufvoid = 104857600,bufstart = {number}; bufend = {number}; bufvoid = {number}
"DFS chooseDataNode: got # 1 IOException, will wait for 723.7852941897946 msec","DFS chooseDataNode: got # {number} IOException, will wait for {time} msec"
Diagnostics report from attempt_1445144423722_0020_m_000006_0: cleanup failed for container container_1445144423722_0020_01_000008 : java.lang.IllegalArgumentException: java.net.UnknownHostException: MSRA-SA-41.fareast.corp.microsoft.com,Diagnostics report from {task_id}: cleanup failed for container {container_id} : java.lang.IllegalArgumentException: java.net.UnknownHostException: {ip_address}
Input size for job job_1445087491445_0005 = 1751822336. Number of splits = 13,Input size for job {job_id} = {number}. Number of splits = {number}
Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce,Added filter {filter_name} (class={class_name}) to context {context_name}
"getResources() for application_1445087491445_0005: ask=7 release= 0 newContainers=0 finishedContainers=0 resourcelimit=<memory:13312, vCores:-7> knownNMs=3","getResources() for {app_id}: ask={number} release= {number} newContainers={number} finishedContainers={number} resourcelimit=<memory:{number}, vCores:{number}> knownNMs={number}"
JVM with ID : jvm_1445087491445_0005_m_000002 asked for a task,JVM with ID : {jvm_id} asked for a task
Reduce slow start threshold reached. Scheduling reduces,Reduce slow start threshold reached. Scheduling reduces
